Match_ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rain_game
1419,2012-02-17,Hoffenheim,Mainz,1,1,D,0
1420,2012-03-31,Werder Bremen,Mainz,0,3,A,0
1421,2011-12-18,M'gladbach,Mainz,1,0,H,1
1422,2012-01-22,Leverkusen,Mainz,3,2,H,0
1423,2012-04-07,Stuttgart,Mainz,4,1,H,0
1424,2011-12-13,FC Koln,Mainz,1,1,D,1
1425,2012-03-03,Dortmund,Mainz,2,1,H,0
1426,2011-10-22,Hertha,Mainz,0,0,D,0
1427,2011-08-28,Hannover,Mainz,1,1,D,0
1428,2012-04-14,Bayern Munich,Mainz,0,0,D,0
1429,2011-12-03,Wolfsburg,Mainz,2,2,D,1
1430,2011-09-17,Kaiserslautern,Mainz,3,1,H,0
1431,2012-02-04,Schalke 04,Mainz,1,1,D,0
1432,2012-04-29,Ein Frankfurt,Munich 1860,0,2,A,0
1433,2011-08-06,Cottbus,Munich 1860,0,5,A,0
1434,2012-04-15,Bochum,Munich 1860,2,2,D,0
1435,2012-03-23,Dresden,Munich 1860,0,1,A,0
1436,2011-10-14,Hansa Rostock,Munich 1860,2,0,H,0
1437,2011-09-25,Greuther Furth,Munich 1860,2,0,H,0
1438,2011-10-30,Duisburg,Munich 1860,0,3,A,0
1439,2011-08-19,Fortuna Dusseldorf,Munich 1860,3,1,H,0
1440,2012-03-14,Erzgebirge Aue,Munich 1860,0,0,D,0
1441,2011-12-17,Karlsruhe,Munich 1860,1,3,A,0
1442,2011-07-17,Braunschweig,Munich 1860,3,1,H,0
1443,2012-03-10,Frankfurt FSV,Munich 1860,3,1,H,0
1444,2012-04-08,Paderborn,Munich 1860,2,2,D,0
1445,2012-02-24,Union Berlin,Munich 1860,0,1,A,0
1446,2011-12-04,Aachen,Munich 1860,2,2,D,0
1447,2011-11-18,Ingolstadt,Munich 1860,0,1,A,1
1448,2011-09-11,St Pauli,Munich 1860,4,2,H,0
1449,2011-08-12,Bochum,St Pauli,1,2,A,0
1450,2012-04-13,Greuther Furth,St Pauli,2,1,H,0
1451,2012-03-18,Erzgebirge Aue,St Pauli,2,1,H,0
1452,2012-03-05,Munich 1860,St Pauli,1,1,D,0
1453,2011-12-02,Paderborn,St Pauli,1,1,D,0
1454,2011-10-01,Cottbus,St Pauli,1,4,A,0
1455,2012-04-07,Frankfurt FSV,St Pauli,3,3,D,0
1456,2011-12-11,Ingolstadt,St Pauli,1,0,H,0
1457,2012-02-17,Duisburg,St Pauli,0,1,A,0
1458,2011-09-19,Karlsruhe,St Pauli,0,2,A,0
1459,2011-10-28,Union Berlin,St Pauli,0,2,A,0
1460,2012-04-29,Dresden,St Pauli,1,0,H,0
1461,2011-11-19,Hansa Rostock,St Pauli,1,3,A,0
1462,2011-08-28,Braunschweig,St Pauli,1,0,H,0
1463,2011-07-25,Ein Frankfurt,St Pauli,1,1,D,0
1464,2012-04-02,Fortuna Dusseldorf,St Pauli,0,0,D,0
1465,2012-02-04,Aachen,St Pauli,2,1,H,0
1466,2011-08-06,FC Koln,Wolfsburg,0,3,A,0
1467,2012-03-03,Kaiserslautern,Wolfsburg,0,0,D,0
1468,2011-11-05,Dortmund,Wolfsburg,5,1,H,0
1469,2011-10-01,Leverkusen,Wolfsburg,3,1,H,0
1470,2011-10-22,Hamburg,Wolfsburg,1,1,D,0
1471,2011-12-10,Werder Bremen,Wolfsburg,4,1,H,0
1472,2012-02-19,Schalke 04,Wolfsburg,4,0,H,0
1473,2011-11-26,Augsburg,Wolfsburg,2,0,H,0
1474,2012-05-05,Stuttgart,Wolfsburg,3,2,H,0
1475,2012-03-31,Hertha,Wolfsburg,1,4,A,0
1476,2012-04-20,Mainz,Wolfsburg,0,0,D,0
1477,2011-08-19,M'gladbach,Wolfsburg,4,1,H,0
1478,2012-03-17,Nurnberg,Wolfsburg,1,3,A,0
1479,2011-09-17,Hoffenheim,Wolfsburg,3,1,H,0
1480,2012-04-11,Hannover,Wolfsburg,2,0,H,0
1481,2012-01-28,Bayern Munich,Wolfsburg,2,0,H,0
1482,2011-08-27,Freiburg,Wolfsburg,3,0,H,1
1483,2012-03-17,Leverkusen,M'gladbach,1,2,A,0
1484,2011-10-22,Hoffenheim,M'gladbach,1,0,H,0
1485,2012-05-05,Mainz,M'gladbach,0,3,A,0
1486,2011-08-28,Schalke 04,M'gladbach,1,0,H,0
1487,2012-02-18,Kaiserslautern,M'gladbach,1,2,A,0
1488,2011-09-17,Hamburg,M'gladbach,0,1,A,0
1489,2012-02-04,Wolfsburg,M'gladbach,0,0,D,0
1490,2012-04-01,Hannover,M'gladbach,2,1,H,0
1491,2011-08-07,Bayern Munich,M'gladbach,0,1,A,0
1492,2012-04-21,Dortmund,M'gladbach,2,0,H,0
1493,2011-12-10,Augsburg,M'gladbach,1,0,H,0
1494,2012-04-10,Werder Bremen,M'gladbach,2,2,D,0
1495,2012-03-04,Nurnberg,M'gladbach,1,0,H,0
1496,2012-01-29,Stuttgart,M'gladbach,0,3,A,0
